"","film_id","year","length","budget","votes","rating","high_rating","genre_Action","genre_Animation","genre_Comedy","genre_Documentary","genre_Drama","genre_Romance","genre_Short"
"1",45327,1984,103,14.4,17,8,1,0,0,1,0,0,0,0
"2",55943,2001,60,10.2,11,8.1,1,0,0,0,1,0,0,0
"3",7752,1999,105,13.4,3216,7.9,1,0,0,0,1,0,0,0
"4",34995,1970,135,11.6,73,7.1,1,0,0,1,0,0,0,0
"5",21585,1939,117,17,1988,8,1,1,0,0,0,0,0,0
"6",20729,1961,90,10.7,7,2.8,0,1,0,0,0,0,0,0
"7",16345,1978,95,14.7,134,8.3,1,0,0,1,0,0,0,0
"8",39560,1975,110,14,8,2.4,0,0,0,0,0,1,0,0
"9",274,1999,20,12,5,8.1,1,0,0,1,0,0,0,0
"10",25005,1998,101,13.4,1645,8.6,1,0,0,1,0,0,0,0
"11",44780,1974,127,10.2,15,4.1,0,0,0,0,0,1,0,0
"12",51869,1955,99,12.4,92,4.3,0,0,0,0,0,1,0,0
"13",39276,1968,9,13,11,8.4,1,0,0,0,1,0,0,0
"14",28669,2004,103,16.1,317,4.1,0,0,0,0,0,1,0,0
"15",10849,2000,555,16.8,33,4.6,0,0,0,0,0,1,0,0
"16",19773,1956,90,14.3,12,5.4,0,0,0,0,0,1,0,0
"17",32320,1962,90,8.8,49,1.3,0,0,0,1,0,0,0,0
"18",34782,1997,90,11.4,15,3.8,0,1,0,0,0,0,0,0
"19",58291,1968,111,16.7,806,7.8,1,0,0,1,0,0,0,0
"20",35411,1932,56,11.7,11,4,0,1,0,0,0,0,0,0
"21",33118,1998,85,12.9,27,4.5,0,1,0,0,0,0,0,0
"22",57298,1948,104,13,142,3,0,0,0,0,0,1,0,0
"23",7223,1962,82,16.9,953,8.1,1,1,0,0,0,0,0,0
"24",28002,1953,109,12.7,729,2.2,0,0,0,1,0,0,0,0
"25",57279,1926,89,11,17,4.1,0,0,0,0,0,1,0,0
"26",2743,1936,76,15.5,13,7.1,1,0,0,1,0,0,0,0
"27",28313,1994,85,13.4,26,4.2,0,0,0,0,0,1,0,0
"28",25961,1950,74,10,6,7.9,1,0,0,1,0,0,0,0
"29",6328,1997,93,11.7,91,3.8,0,0,0,0,0,1,0,0
"30",11378,1999,5,12.6,28,7.4,1,0,0,0,0,0,0,1
"31",39838,1941,70,12.1,7,4.2,0,1,0,0,0,0,0,0
"32",12571,1987,95,13.1,45,3.1,0,1,0,0,0,0,0,0
"33",40316,1943,22,10.3,18,7.2,1,0,0,0,1,0,0,0
"34",8460,1978,84,9.7,51,8.4,1,0,0,1,0,0,0,0
"35",34493,1989,92,13.1,54,4.2,0,0,0,0,0,1,0,0
"36",56378,1966,91,10.6,7,3.7,0,0,0,0,0,1,0,0
"37",38901,2002,13,12.7,10,7.6,1,0,0,1,0,0,0,0
"38",43751,1953,84,11.6,11,5,0,1,0,0,0,0,0,0
"39",26164,1974,78,14.9,13,8.5,1,0,0,1,0,0,0,0
"40",57966,1998,90,12.7,97,4.8,0,0,0,1,0,0,0,0
"41",34945,2000,82,7.6,20,3.3,0,0,0,1,0,0,0,0
"42",13423,1943,60,7.4,32,4.1,0,0,0,0,1,0,0,0
"43",49918,1930,75,12.2,5,8.3,1,0,0,1,0,0,0,0
"44",12229,1996,100,14.9,19,2.8,0,0,0,0,0,1,0,0
"45",26297,2003,95,15.7,6,5,0,1,0,0,0,0,0,0
"46",8292,1935,81,9.9,150,4.5,0,1,0,0,0,0,0,0
"47",24912,1973,87,11.8,44,4.6,0,1,0,0,0,0,0,0
"48",40376,1992,90,13,41,4.2,0,1,0,0,0,0,0,0
"49",47242,2003,89,12.8,31,8,1,1,0,0,0,0,0,0
"50",16302,2001,91,11.7,373,7.4,1,0,0,1,0,0,0,0
"51",28941,1986,83,11.8,10,7.7,1,0,0,1,0,0,0,0
"52",53499,1999,11,4.1,22,7.9,1,0,0,0,0,0,0,1
"53",58225,1956,84,9.1,13,3.1,0,1,0,0,0,0,0,0
"54",19182,1994,98,15,7,7.6,1,0,0,0,1,0,0,0
"55",24323,1987,60,13,6,3.5,0,1,0,0,0,0,0,0
"56",12523,1992,92,12.6,18,4.1,0,1,0,0,0,0,0,0
"57",35262,1942,86,14,35,7.7,1,0,0,1,0,0,0,0
"58",2818,2002,94,16.4,53,8.1,1,0,0,1,0,0,0,0
"59",46931,1997,100,8.6,16,3.2,0,0,0,0,1,0,0,0
"60",34507,1968,95,12.8,9,2.4,0,1,0,0,0,0,0,0
"61",11316,1973,29,13.3,8,7.7,1,0,0,0,0,0,0,1
"62",43282,2001,13,13.9,11,7.7,1,0,0,0,0,0,0,1
"63",10748,1932,54,18,13,3.7,0,0,0,0,0,1,0,0
"64",48060,1940,72,18.7,9,8.2,1,0,0,1,0,0,0,0
"65",30377,1965,85,14.2,8,4.7,0,1,0,0,0,0,0,0
"66",88,2000,95,5.6,50,3.6,0,0,0,1,0,0,0,0
"67",27711,1991,95,12.6,5,3.8,0,0,0,0,0,1,0,0
"68",29240,1989,80,15.1,55,4.5,0,0,0,0,0,1,0,0
"69",13671,2001,88,10,237,4.8,0,1,0,0,0,0,0,0
"70",27216,1966,90,18.1,10,7.2,1,1,0,0,0,0,0,0
"71",10280,1934,73,13.9,67,4.9,0,0,0,0,0,1,0,0
"72",2934,1966,98,10.2,221,2.3,0,1,0,0,0,0,0,0
"73",57407,1995,90,13.3,16,5,0,1,0,0,0,0,0,0
"74",23348,1966,85,11.1,27,7.8,1,0,0,1,0,0,0,0
"75",16553,1996,110,11.3,60,3.5,0,0,0,0,0,1,0,0
"76",28121,1936,80,12.1,56,8.9,1,0,0,1,0,0,0,0
"77",26689,1966,83,13,25,4.1,0,1,0,0,0,0,0,0
"78",53578,1938,77,11,13,7.9,1,0,0,1,0,0,0,0
"79",33611,1971,89,9.8,238,7.9,1,0,0,1,0,0,0,0
"80",33413,1935,7,18.5,41,7.9,1,0,1,0,0,0,0,0
"81",20186,1953,90,8.8,85,4,0,0,0,0,0,1,0,0
"82",44013,1954,9,14.4,6,8,1,0,0,0,0,0,0,1
"83",32311,2000,102,10.2,44,4.2,0,0,0,0,0,1,0,0
"84",54471,1966,6,11.1,5,5.1,0,0,1,0,0,0,0,0
"85",27626,2004,86,13.6,5,5.7,0,0,0,0,0,1,0,0
"86",957,1970,100,12.9,61,2.9,0,0,0,0,0,1,0,0
"87",22500,1994,108,8.8,11453,3.3,0,0,0,0,0,1,0,0
"88",24408,2003,90,8.2,462,2.8,0,0,0,0,0,1,0,0
"89",24513,1933,90,13.7,24,4.4,0,0,0,0,0,1,0,0
"90",54356,1977,50,13.5,22,4.1,0,1,0,0,0,0,0,0
"91",13084,1996,100,9,5,4.3,0,0,0,1,0,0,0,0
"92",31537,1976,135,12.7,76,4.8,0,0,0,0,0,1,0,0
"93",53181,1989,89,4.3,24,3.8,0,1,0,0,0,0,0,0
"94",19316,1967,102,12,6,3.5,0,0,0,1,0,0,0,0
"95",52589,1993,85,11.8,59,3.9,0,1,0,0,0,0,0,0
"96",26029,1994,112,11.5,181,4.5,0,0,0,0,0,1,0,0
"97",25642,1964,92,9.7,7,3.6,0,1,0,0,0,0,0,0
"98",44827,1977,102,14.9,88,3.7,0,1,0,0,0,0,0,0
"99",6390,1992,86,7.6,59,3.5,0,1,0,0,0,0,0,0
"100",36193,1941,43,8.3,5,7.9,1,0,0,1,0,0,0,0
"101",39923,1962,85,7.2,5,4.5,0,1,0,0,0,0,0,0
"102",53179,1952,7,5.7,25,5.1,0,0,1,0,0,0,0,0
"103",9296,2003,111,15.4,691,5.6,0,1,0,0,0,0,0,0
"104",32523,2002,113,14.6,504,8.2,1,0,0,1,0,0,0,0
"105",5240,1990,90,10.7,109,7.7,1,1,0,0,0,0,0,0
"106",34312,2001,11,12.3,7,8.3,1,0,1,0,0,0,0,0
"107",47800,1964,100,16.1,21,8.3,1,0,0,1,0,0,0,0
"108",48220,2001,84,13,2305,5.3,0,1,0,0,0,0,0,0
"109",54125,2002,95,6.8,8,3.9,0,0,0,0,0,1,0,0
"110",52376,1942,99,14.8,3579,8.5,1,0,0,1,0,0,0,0
"111",15038,1971,90,13.5,88,3.7,0,0,0,1,0,0,0,0
"112",586,1996,17,14.9,26,7.6,1,0,0,0,0,1,0,0
"113",8246,1948,18,6.9,13,8.4,1,0,0,0,0,0,0,1
"114",32469,1989,110,14.1,283,7.9,1,0,0,1,0,0,0,0
"115",32095,1942,65,10.8,9,5.1,0,0,0,0,0,1,0,0
"116",10453,2005,104,10.2,65,5.6,0,1,0,0,0,0,0,0
"117",25062,1937,96,9.6,157,5.3,0,1,0,0,0,0,0,0
"118",26338,1999,22,13.5,10,7.7,1,0,0,1,0,0,0,0
"119",15590,1950,7,11.8,19,7.8,1,0,1,0,0,0,0,0
"120",55605,1962,18,14,6,8.4,1,0,0,0,1,0,0,0
"121",33702,1990,91,13.2,173,4.1,0,1,0,0,0,0,0,0
"122",17552,2003,96,9.1,14,4.9,0,1,0,0,0,0,0,0
"123",31862,2001,119,13.5,44,4.5,0,0,0,0,0,1,0,0
"124",25185,1998,92,5.8,66,4.8,0,0,0,0,0,1,0,0
"125",31554,2004,29,17.5,9,7.6,1,0,0,1,0,0,0,0
"126",32542,1996,98,7,4005,3.9,0,0,0,1,0,0,0,0
"127",51462,1933,20,11,6,8.3,1,0,0,0,0,0,0,1
"128",47574,1939,10,12.6,8,8.2,1,0,0,0,0,1,0,0
"129",10634,1999,90,15.9,125,8,1,1,0,0,0,0,0,0
"130",56355,1941,81,8.6,73,4.1,0,0,0,1,0,0,0,0
"131",57240,1968,8,15.1,9,7.9,1,0,1,0,0,0,0,0
"132",49952,1942,91,10.4,12,3.2,0,1,0,0,0,0,0,0
"133",39568,1971,91,13.2,51,3.6,0,1,0,0,0,0,0,0
