"film_id","year","length","budget","votes","genre","rating","high_rating","years_since"
45327,1984,103,14.4,17,"Comedy",8,"1",41
55943,2001,60,10.2,11,"Documentary",8.1,"1",24
7752,1999,105,13.4,3216,"Documentary",7.9,"1",26
34995,1970,135,11.6,73,"Comedy",7.1,"1",55
21585,1939,117,17,1988,"Action",8,"1",86
20729,1961,90,10.7,7,"Action",2.8,"0",64
16345,1978,95,14.7,134,"Comedy",8.3,"1",47
39560,1975,110,14,8,"Drama",2.4,"0",50
274,1999,20,12,5,"Comedy",8.1,"1",26
25005,1998,101,13.4,1645,"Comedy",8.6,"1",27
44780,1974,127,10.2,15,"Drama",4.1,"0",51
51869,1955,99,12.4,92,"Drama",4.3,"0",70
39276,1968,9,13,11,"Documentary",8.4,"1",57
28669,2004,103,16.1,317,"Drama",4.1,"0",21
10849,2000,555,16.8,33,"Drama",4.6,"0",25
19773,1956,90,14.3,12,"Drama",5.4,"0",69
32320,1962,90,8.8,49,"Comedy",1.3,"0",63
34782,1997,90,11.4,15,"Action",3.8,"0",28
58291,1968,111,16.7,806,"Comedy",7.8,"1",57
35411,1932,56,11.7,11,"Action",4,"0",93
33118,1998,85,12.9,27,"Action",4.5,"0",27
57298,1948,104,13,142,"Drama",3,"0",77
7223,1962,82,16.9,953,"Action",8.1,"1",63
28002,1953,109,12.7,729,"Comedy",2.2,"0",72
57279,1926,89,11,17,"Drama",4.1,"0",99
2743,1936,76,15.5,13,"Comedy",7.1,"1",89
28313,1994,85,13.4,26,"Drama",4.2,"0",31
25961,1950,74,10,6,"Comedy",7.9,"1",75
6328,1997,93,11.7,91,"Drama",3.8,"0",28
11378,1999,5,12.6,28,"Short",7.4,"1",26
39838,1941,70,12.1,7,"Action",4.2,"0",84
12571,1987,95,13.1,45,"Action",3.1,"0",38
40316,1943,22,10.3,18,"Documentary",7.2,"1",82
8460,1978,84,9.7,51,"Comedy",8.4,"1",47
34493,1989,92,13.1,54,"Drama",4.2,"0",36
56378,1966,91,10.6,7,"Drama",3.7,"0",59
38901,2002,13,12.7,10,"Comedy",7.6,"1",23
43751,1953,84,11.6,11,"Action",5,"0",72
26164,1974,78,14.9,13,"Comedy",8.5,"1",51
57966,1998,90,12.7,97,"Comedy",4.8,"0",27
34945,2000,82,7.6,20,"Comedy",3.3,"0",25
13423,1943,60,7.4,32,"Documentary",4.1,"0",82
49918,1930,75,12.2,5,"Comedy",8.3,"1",95
12229,1996,100,14.9,19,"Drama",2.8,"0",29
26297,2003,95,15.7,6,"Action",5,"0",22
8292,1935,81,9.9,150,"Action",4.5,"0",90
24912,1973,87,11.8,44,"Action",4.6,"0",52
40376,1992,90,13,41,"Action",4.2,"0",33
47242,2003,89,12.8,31,"Action",8,"1",22
16302,2001,91,11.7,373,"Comedy",7.4,"1",24
28941,1986,83,11.8,10,"Comedy",7.7,"1",39
53499,1999,11,4.1,22,"Short",7.9,"1",26
58225,1956,84,9.1,13,"Action",3.1,"0",69
19182,1994,98,15,7,"Documentary",7.6,"1",31
24323,1987,60,13,6,"Action",3.5,"0",38
12523,1992,92,12.6,18,"Action",4.1,"0",33
35262,1942,86,14,35,"Comedy",7.7,"1",83
2818,2002,94,16.4,53,"Comedy",8.1,"1",23
46931,1997,100,8.6,16,"Documentary",3.2,"0",28
34507,1968,95,12.8,9,"Action",2.4,"0",57
11316,1973,29,13.3,8,"Short",7.7,"1",52
43282,2001,13,13.9,11,"Short",7.7,"1",24
10748,1932,54,18,13,"Drama",3.7,"0",93
48060,1940,72,18.7,9,"Comedy",8.2,"1",85
30377,1965,85,14.2,8,"Action",4.7,"0",60
88,2000,95,5.6,50,"Comedy",3.6,"0",25
27711,1991,95,12.6,5,"Drama",3.8,"0",34
29240,1989,80,15.1,55,"Drama",4.5,"0",36
13671,2001,88,10,237,"Action",4.8,"0",24
27216,1966,90,18.1,10,"Action",7.2,"1",59
10280,1934,73,13.9,67,"Drama",4.9,"0",91
2934,1966,98,10.2,221,"Action",2.3,"0",59
57407,1995,90,13.3,16,"Action",5,"0",30
23348,1966,85,11.1,27,"Comedy",7.8,"1",59
